quarter,quarter_label,quarter_end_date,geography_type,geography_code,rolling_four_quarter_mean_utilisation,rolling_eight_quarter_mean_utilisation,utilisation_trend_slope,utilisation_volatility,consecutive_quarters_below_national_benchmark,consecutive_quarters_below_remoteness_benchmark,persistent_utilisation_classification,participant_provider_growth_quadrant,payment_provider_growth_quadrant,demand_score,purchasing_score,capacity_score,performance_score,optional_cluster,cluster_diagnostic_note,reliability_flag
2026Q1,2026 Q1,2025-09-30,ndia_service_area,Adelaide Hills,0.72,0.73875,-0.010000000000000014,0.014142135623731436,8,4,persistently low,insufficient history,insufficient history,0.7174603174603175,0.045454545454545456,,0.20625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2024Q2,2024 Q2,2023-12-31,ndia_service_area,Barkly,,,,,1,1,insufficient history,insufficient history,insufficient history,0.11746031746031746,0.03134796238244514,1.0,0.0875,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",insufficient_history
2024Q3,2024 Q3,2024-03-31,ndia_service_area,Barkly,0.7,,,0.05656854249492382,2,0,stable,insufficient history,insufficient history,,,,0.47890625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2024Q4,2024 Q4,2024-06-30,ndia_service_area,Barkly,0.7266666666666667,,0.05999999999999982,0.061101009266077894,0,0,recovering,insufficient history,insufficient history,0.14444444444444443,0.47492163009404387,,0.81640625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q1,2025 Q1,2024-09-30,ndia_service_area,Barkly,0.7425,0.7425,0.04299999999999994,0.05909032633745281,0,0,recovering,insufficient history,insufficient history,0.15396825396825398,0.6332288401253918,,0.89375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q2,2025 Q2,2024-12-31,ndia_service_area,Barkly,0.78,0.756,0.022000000000000023,0.029439202887759523,0,0,recovering,insufficient history,insufficient history,0.13174603174603175,0.5532915360501567,,0.95859375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q3,2025 Q3,2025-03-31,ndia_service_area,Barkly,0.7875000000000001,0.7583333333333333,-0.0010000000000000128,0.017078251276599354,0,0,stable,insufficient history,insufficient history,0.2111111111111111,0.274294670846395,,0.740625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2025Q4,2025 Q4,2025-06-30,ndia_service_area,Barkly,0.7625,0.7471428571428572,-0.036999999999999984,0.05737304826019497,1,1,deteriorating,insufficient history,insufficient history,0.31587301587301586,0.04231974921630094,,0.12890625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2026Q1,2026 Q1,2025-09-30,ndia_service_area,Barkly,0.7375,0.74,-0.04499999999999998,0.06291528696058953,2,2,deteriorating,insufficient history,insufficient history,0.38571428571428573,0.04075235109717868,,0.16015625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2024Q2,2024 Q2,2023-12-31,ndia_service_area,"Barossa, Light and Lower North",,,,,1,1,insufficient history,insufficient history,insufficient history,0.8380952380952381,0.02821316614420063,0.75,0.57578125,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",insufficient_history
2024Q3,2024 Q3,2024-03-31,ndia_service_area,"Barossa, Light and Lower North",0.76,,,0.014142135623730963,2,0,stable,insufficient history,insufficient history,0.8825396825396825,0.03761755485893417,,0.740625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2024Q4,2024 Q4,2024-06-30,ndia_service_area,"Barossa, Light and Lower North",0.7666666666666666,,0.014999999999999911,0.015275252316519468,0,0,recovering,insufficient history,insufficient history,0.9174603174603174,0.03605015673981191,,0.81640625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q1,2025 Q1,2024-09-30,ndia_service_area,"Barossa, Light and Lower North",0.76,0.76,-0.002000000000000018,0.018257418583505554,1,1,stable,insufficient history,insufficient history,0.9428571428571428,0.029780564263322883,,0.47890625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q2,2025 Q2,2024-12-31,ndia_service_area,"Barossa, Light and Lower North",0.75,0.75,-0.02199999999999991,0.03162277660168382,2,2,deteriorating,insufficient history,insufficient history,0.9650793650793651,0.023510971786833857,,0.2671875,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q3,2025 Q3,2025-03-31,ndia_service_area,"Barossa, Light and Lower North",0.73,0.7399999999999999,-0.030000000000000037,0.03915780041490246,3,3,deteriorating,insufficient history,insufficient history,0.9714285714285714,0.017241379310344827,,0.16015625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2025Q4,2025 Q4,2025-06-30,ndia_service_area,"Barossa, Light and Lower North",0.71,0.7342857142857142,-0.013999999999999988,0.02160246899469285,4,4,persistently low,insufficient history,insufficient history,0.9746031746031746,0.0219435736677116,,0.20625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2026Q1,2026 Q1,2025-09-30,ndia_service_area,"Barossa, Light and Lower North",0.695,0.7275,-0.007999999999999974,0.012909944487357954,5,5,persistently low,insufficient history,insufficient history,0.9809523809523809,0.01567398119122257,,0.12890625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2024Q2,2024 Q2,2023-12-31,ndia_service_area,Barwon,,,,,1,1,insufficient history,insufficient history,insufficient history,0.7523809523809524,0.45768025078369906,0.0875,0.47890625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",insufficient_history
2024Q3,2024 Q3,2024-03-31,ndia_service_area,Barwon,0.745,,,0.007071067811865481,2,2,stable,insufficient history,insufficient history,0.7984126984126985,0.4561128526645768,,0.57578125,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2024Q4,2024 Q4,2024-06-30,ndia_service_area,Barwon,0.75,,0.009999999999999938,0.010000000000000009,3,3,recovering,insufficient history,insufficient history,0.8222222222222222,0.47648902821316613,,0.66484375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q1,2025 Q1,2024-09-30,ndia_service_area,Barwon,0.7475,0.7475,0.0009999999999999727,0.009574271077563399,4,4,persistently low,insufficient history,insufficient history,0.873015873015873,0.46551724137931033,,0.47890625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q2,2025 Q2,2024-12-31,ndia_service_area,Barwon,0.7449999999999999,0.744,-0.008,0.012909944487358107,5,5,persistently low,insufficient history,insufficient history,0.9142857142857143,0.44043887147335425,,0.39296875,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q3,2025 Q3,2025-03-31,ndia_service_area,Barwon,0.7374999999999999,0.7399999999999999,-0.012999999999999996,0.01707825127659946,6,6,persistently low,insufficient history,insufficient history,0.9333333333333333,0.45454545454545453,,0.32734375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2025Q4,2025 Q4,2025-06-30,ndia_service_area,Barwon,0.7275,0.7371428571428572,-0.006999999999999976,0.009574271077563826,7,7,persistently low,insufficient history,insufficient history,0.9476190476190476,0.4702194357366771,,0.32734375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2026Q1,2026 Q1,2025-09-30,ndia_service_area,Barwon,0.72,0.73375,-0.00599999999999999,0.008164965809277952,8,8,persistently low,insufficient history,insufficient history,0.9603174603174603,0.46238244514106586,,0.2671875,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2024Q2,2024 Q2,2023-12-31,ndia_service_area,Bayside Peninsula,,,,,1,1,insufficient history,insufficient history,insufficient history,0.1873015873015873,0.603448275862069,0.0625,0.740625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",insufficient_history
2024Q3,2024 Q3,2024-03-31,ndia_service_area,Bayside Peninsula,0.77,,,0.0,2,2,stable,insufficient history,insufficient history,0.21746031746031746,0.5783699059561128,,0.740625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2024Q4,2024 Q4,2024-06-30,ndia_service_area,Bayside Peninsula,0.77,,-8.452104970371919e-17,0.0,3,3,stable,insufficient history,insufficient history,0.23492063492063492,0.5877742946708464,,0.740625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q1,2025 Q1,2024-09-30,ndia_service_area,Bayside Peninsula,0.7675000000000001,0.7675000000000001,-0.0030000000000000764,0.005000000000000023,4,4,persistently low,insufficient history,insufficient history,0.27936507936507937,0.5454545454545454,,0.66484375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q2,2025 Q2,2024-12-31,ndia_service_area,Bayside Peninsula,0.7625,0.764,-0.006999999999999975,0.009574271077563428,0,5,deteriorating,insufficient history,insufficient history,0.33015873015873015,0.5015673981191222,,0.57578125,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q3,2025 Q3,2025-03-31,ndia_service_area,Bayside Peninsula,0.7575000000000001,0.7616666666666667,-0.00699999999999995,0.009574271077563477,1,6,deteriorating,insufficient history,insufficient history,0.35555555555555557,0.5188087774294671,,0.57578125,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2025Q4,2025 Q4,2025-06-30,ndia_service_area,Bayside Peninsula,0.7525,0.76,-0.0029999999999999884,0.005000000000000245,2,7,stable,insufficient history,insufficient history,0.3634920634920635,0.5721003134796239,,0.57578125,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2026Q1,2026 Q1,2025-09-30,ndia_service_area,Bayside Peninsula,0.7450000000000001,0.75625,-0.005999999999999997,0.010000000000000009,3,8,deteriorating,insufficient history,insufficient history,0.3825396825396825,0.5971786833855799,,0.39296875,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2024Q2,2024 Q2,2023-12-31,ndia_service_area,Beenleigh,,,,,0,1,insufficient history,insufficient history,insufficient history,0.5174603174603175,0.512539184952978,0.4,0.89375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",insufficient_history
2024Q3,2024 Q3,2024-03-31,ndia_service_area,Beenleigh,0.79,,,0.0,0,2,stable,insufficient history,insufficient history,0.5714285714285714,0.5360501567398119,,0.89375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2024Q4,2024 Q4,2024-06-30,ndia_service_area,Beenleigh,0.79,,-7.86578352023717e-18,0.0,0,3,stable,insufficient history,insufficient history,0.6079365079365079,0.5893416927899686,,0.89375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q1,2025 Q1,2024-09-30,ndia_service_area,Beenleigh,0.785,0.785,-0.006000000000000021,0.010000000000000009,0,4,deteriorating,insufficient history,insufficient history,0.6825396825396826,0.5470219435736677,,0.740625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q2,2025 Q2,2024-12-31,ndia_service_area,Beenleigh,0.775,0.778,-0.013999999999999955,0.01914854215512677,0,5,deteriorating,insufficient history,insufficient history,0.7428571428571429,0.5344827586206896,,0.57578125,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q3,2025 Q3,2025-03-31,ndia_service_area,Beenleigh,0.765,0.7733333333333334,-0.013999999999999981,0.01914854215512677,1,6,deteriorating,insufficient history,insufficient history,0.7746031746031746,0.6050156739811913,,0.57578125,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2025Q4,2025 Q4,2025-06-30,ndia_service_area,Beenleigh,0.755,0.7700000000000001,-0.005999999999999976,0.010000000000000009,2,7,deteriorating,insufficient history,insufficient history,0.7968253968253968,0.6536050156739812,,0.57578125,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2026Q1,2026 Q1,2025-09-30,ndia_service_area,Beenleigh,0.7475,0.76625,-0.0029999999999998617,0.005000000000000023,0,8,stable,insufficient history,insufficient history,0.8428571428571429,0.6567398119122257,,0.47890625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2024Q2,2024 Q2,2023-12-31,ndia_service_area,Brimbank Melton,,,,,0,1,insufficient history,insufficient history,insufficient history,0.5111111111111111,0.3510971786833856,0.55,0.89375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",insufficient_history
2024Q3,2024 Q3,2024-03-31,ndia_service_area,Brimbank Melton,0.795,,,0.007071067811865481,0,0,consistently high,insufficient history,insufficient history,0.5507936507936508,0.3448275862068966,,0.9375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2024Q4,2024 Q4,2024-06-30,ndia_service_area,Brimbank Melton,0.7933333333333333,,-1.4203407570868988e-16,0.0057735026918962545,0,1,stable,insufficient history,insufficient history,0.5761904761904761,0.38557993730407525,,0.89375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q1,2025 Q1,2024-09-30,ndia_service_area,Brimbank Melton,0.7875000000000001,0.7875000000000001,-0.006999999999999935,0.012583057392117899,0,2,deteriorating,insufficient history,insufficient history,0.6428571428571429,0.35266457680250785,,0.740625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q2,2025 Q2,2024-12-31,ndia_service_area,Brimbank Melton,0.78,0.782,-0.014000000000000028,0.01825741858350552,0,3,deteriorating,insufficient history,insufficient history,0.7111111111111111,0.3275862068965517,,0.66484375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q3,2025 Q3,2025-03-31,ndia_service_area,Brimbank Melton,0.7725000000000001,0.7799999999999999,-0.006999999999999948,0.012583057392117862,0,4,deteriorating,insufficient history,insufficient history,0.7507936507936508,0.3824451410658307,,0.740625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2025Q4,2025 Q4,2025-06-30,ndia_service_area,Brimbank Melton,0.7675,0.7785714285714286,0.0010000000000000325,0.004999999999999766,0,5,stable,insufficient history,insufficient history,0.7555555555555555,0.4717868338557994,,0.740625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2026Q1,2026 Q1,2025-09-30,ndia_service_area,Brimbank Melton,0.7649999999999999,0.77625,-6.924009910210287e-17,0.005773502691896014,0,0,consistently high,insufficient history,insufficient history,0.7841269841269841,0.48119122257053293,,0.66484375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2024Q2,2024 Q2,2023-12-31,ndia_service_area,Brisbane,,,,,0,1,insufficient history,insufficient history,insufficient history,0.09523809523809523,0.6504702194357367,0.2125,0.81640625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",insufficient_history
2024Q3,2024 Q3,2024-03-31,ndia_service_area,Brisbane,0.78,,,0.0,0,2,stable,insufficient history,insufficient history,0.10952380952380952,0.6614420062695925,,0.81640625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2024Q4,2024 Q4,2024-06-30,ndia_service_area,Brisbane,0.78,,-3.165106823279971e-17,0.0,0,3,stable,insufficient history,insufficient history,0.12063492063492064,0.6755485893416928,,0.81640625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q1,2025 Q1,2024-09-30,ndia_service_area,Brisbane,0.7725,0.7725,-0.008999999999999956,0.014999999999999994,1,4,deteriorating,insufficient history,insufficient history,0.14761904761904762,0.6442006269592476,,0.57578125,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q2,2025 Q2,2024-12-31,ndia_service_area,Brisbane,0.76,0.764,-0.01800000000000007,0.024494897427831726,2,5,deteriorating,insufficient history,insufficient history,0.16825396825396827,0.622257053291536,,0.39296875,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q3,2025 Q3,2025-03-31,ndia_service_area,Brisbane,0.75,0.7600000000000001,-0.013999999999999995,0.021602468994692734,3,6,deteriorating,insufficient history,insufficient history,0.1761904761904762,0.6489028213166145,,0.47890625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2025Q4,2025 Q4,2025-06-30,ndia_service_area,Brisbane,0.74,0.7571428571428571,-0.002000000000000036,0.008164965809276704,4,7,persistently low,insufficient history,insufficient history,0.18571428571428572,0.6818181818181818,,0.47890625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2026Q1,2026 Q1,2025-09-30,ndia_service_area,Brisbane,0.7349999999999999,0.75375,2.2742097527042462e-17,0.005773502691895322,5,8,persistently low,insufficient history,insufficient history,0.1984126984126984,0.7210031347962382,,0.39296875,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2024Q2,2024 Q2,2023-12-31,ndia_service_area,Bundaberg,,,,,0,0,insufficient history,insufficient history,insufficient history,0.8809523809523809,0.5282131661442007,0.4125,0.81640625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",insufficient_history
2024Q3,2024 Q3,2024-03-31,ndia_service_area,Bundaberg,0.78,,,0.0,0,0,stable,insufficient history,insufficient history,0.9063492063492063,0.5940438871473355,,0.81640625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2024Q4,2024 Q4,2024-06-30,ndia_service_area,Bundaberg,0.7766666666666667,,-0.004999999999999986,0.005773502691896279,1,0,stable,insufficient history,insufficient history,0.9222222222222223,0.6238244514106583,,0.740625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q1,2025 Q1,2024-09-30,ndia_service_area,Bundaberg,0.77,0.77,-0.009999999999999993,0.014142135623730975,2,0,deteriorating,insufficient history,insufficient history,0.9444444444444444,0.5924764890282131,,0.57578125,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q2,2025 Q2,2024-12-31,ndia_service_area,Bundaberg,0.7625,0.766,-0.011,0.015000000000000045,0,0,deteriorating,insufficient history,insufficient history,0.9555555555555556,0.6081504702194357,,0.57578125,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2025Q3,2025 Q3,2025-03-31,ndia_service_area,Bundaberg,0.755,0.7633333333333333,-0.005999999999999976,0.010000000000000092,1,0,deteriorating,insufficient history,insufficient history,0.9571428571428572,0.6379310344827587,,0.57578125,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2025Q4,2025 Q4,2025-06-30,ndia_service_area,Bundaberg,0.7475,0.76,-0.0029999999999998617,0.005000000000000023,2,0,stable,insufficient history,insufficient history,0.9523809523809523,0.6880877742946708,,0.47890625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2026Q1,2026 Q1,2025-09-30,ndia_service_area,Bundaberg,0.74,0.755,-0.010000000000000038,0.014142135623730982,3,1,deteriorating,insufficient history,insufficient history,0.9666666666666667,0.6990595611285266,,0.32734375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2024Q2,2024 Q2,2023-12-31,ndia_service_area,Caboolture/Strathpine,,,,,0,0,insufficient history,insufficient history,insufficient history,0.5888888888888889,0.5109717868338558,0.325,0.81640625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",insufficient_history
2024Q3,2024 Q3,2024-03-31,ndia_service_area,Caboolture/Strathpine,0.785,,,0.007071067811865481,0,0,stable,insufficient history,insufficient history,0.6523809523809524,0.5313479623824452,,0.89375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2024Q4,2024 Q4,2024-06-30,ndia_service_area,Caboolture/Strathpine,0.7866666666666667,,0.005000000000000087,0.0057735026918962545,0,0,recovering,insufficient history,insufficient history,0.6857142857142857,0.5689655172413793,,0.89375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q1,2025 Q1,2024-09-30,ndia_service_area,Caboolture/Strathpine,0.78,0.78,-0.0059999999999999784,0.01414213562373097,1,0,deteriorating,insufficient history,insufficient history,0.7698412698412699,0.48746081504702193,,0.66484375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q2,2025 Q2,2024-12-31,ndia_service_area,Caboolture/Strathpine,0.77,0.772,-0.01800000000000007,0.024494897427831806,2,0,deteriorating,insufficient history,insufficient history,0.8174603174603174,0.46865203761755486,,0.47890625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
