quarter,ndis_service_area,service_area_state_label,remoteness_category,population_2025_erp,funded_plans_count,service_area_funded_plans_per_1000_population_2025_erp,service_area_mean_plan_utilisation,support_class,service_type,service_type_group,service_category_order,service_type_payment_amount,payment_item_participant_count_sum_not_unique,suppressed_payment_item_rows,suppressed_participant_item_rows,source_item_rows,service_area_payment_amount,service_type_payment_share_of_area_total,service_type_payment_per_1000_population,service_type_rank_within_area,national_service_type_payment_amount,national_service_type_area_mean_payment_amount,national_service_type_area_median_payment_amount,national_service_type_area_mean_share,national_payment_amount_from_area_items,national_service_type_payment_share,service_type_payment_share_gap_from_national,service_type_payment_amount_gap_from_national_area_mean
2024Q2,ACT,ACT (ACT),Inner Regional Australia,484630.0,10927.0,22.547097785939787,76.0,Capacity Building,Support Coordination,Support Coordination,11,12719000.0,3998.0,8.0,8.0,14.0,587257000.0,0.021658319951912024,26244.76404679859,9.0,1070895000.0,13059695.121951219,10623500.0,0.03254554021890279,39742434000.0,0.02694588358629469,-0.0052875636343826665,-340695.1219512187
2024Q2,ACT,ACT (ACT),Inner Regional Australia,484630.0,10927.0,22.547097785939787,76.0,Capacity Building,Therapy,Therapy,12,33158000.0,14911.0,5.0,5.0,39.0,587257000.0,0.05646250278838737,68419.2064048862,5.0,2910690000.0,35496219.512195125,29000000.0,0.07742970206378873,39742434000.0,0.07323884591467146,-0.016776343126284093,-2338219.512195125
2024Q2,ALL,ALL (National),National,27411454.0,661267.0,24.12374768591261,78.0,Capital,Capital,Capital,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,770140000.0,9391951.219512194,6662500.0,0.014531790423672293,39742434000.0,0.019378279649404462,-0.019378279649404462,-9391951.219512194
2024Q2,ALL,ALL (National),National,27411454.0,661267.0,24.12374768591261,78.0,Core,Community Participation Care,Community Participation Care,2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,8354690000.0,101886463.41463415,85725000.0,0.2086263232645507,39742434000.0,0.210220893868755,-0.210220893868755,-101886463.41463415
2024Q2,ALL,ALL (National),National,27411454.0,661267.0,24.12374768591261,78.0,Capacity Building,Early Childhood Supports,Early Childhood Supports,3,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,717407000.0,8748865.853658536,5574000.0,0.018192684211595915,39742434000.0,0.018051410741475975,-0.018051410741475975,-8748865.853658536
2024Q2,ALL,ALL (National),National,27411454.0,661267.0,24.12374768591261,78.0,Core,Group Centre Care,Group Centre Care,4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1280702000.0,15618317.07317073,9535000.0,0.030354275596505657,39742434000.0,0.03222505194322019,-0.03222505194322019,-15618317.07317073
2024Q2,ALL,ALL (National),National,27411454.0,661267.0,24.12374768591261,78.0,Core,High Needs Personal Care,High Needs Personal Care,5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1082262000.0,13198317.07317073,11024000.0,0.02674595909407916,39742434000.0,0.02723190029075723,-0.02723190029075723,-13198317.07317073
2024Q2,ALL,ALL (National),National,27411454.0,661267.0,24.12374768591261,78.0,Capacity Building,Other Capacity Building,Other Capacity Building,6,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2435570000.0,29702073.17073171,17788000.0,0.053436643730699764,39742434000.0,0.06128386600579119,-0.06128386600579119,-29702073.17073171
2024Q2,ALL,ALL (National),National,27411454.0,661267.0,24.12374768591261,78.0,Core,Other Core,Other Core,7,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,946961000.0,11548304.878048781,9763000.0,0.022917359000371115,39742434000.0,0.023827453547510452,-0.023827453547510452,-11548304.878048781
2024Q2,ALL,ALL (National),National,27411454.0,661267.0,24.12374768591261,78.0,Core,Personal Care,Personal Care,8,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,9299090000.0,113403536.58536585,93653500.0,0.22550223568643069,39742434000.0,0.2339839074778359,-0.2339839074778359,-113403536.58536585
2024Q2,ALL,ALL (National),National,27411454.0,661267.0,24.12374768591261,78.0,Capacity Building,Plan Management,Plan Management,9,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,579643000.0,7068817.073170732,5803000.0,0.0179218828187062,39742434000.0,0.014584989937959009,-0.014584989937959009,-7068817.073170732
2024Q2,ALL,ALL (National),National,27411454.0,661267.0,24.12374768591261,78.0,Core,Shared Accommodation Supports,Shared Accommodation Supports,10,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,10294384000.0,125541268.29268293,96933500.0,0.25960048193947743,39742434000.0,0.25902751703632443,-0.25902751703632443,-125541268.29268293
2024Q2,ALL,ALL (National),National,27411454.0,661267.0,24.12374768591261,78.0,Capacity Building,Support Coordination,Support Coordination,11,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1070895000.0,13059695.121951219,10623500.0,0.03254554021890279,39742434000.0,0.02694588358629469,-0.02694588358629469,-13059695.121951219
2024Q2,ALL,ALL (National),National,27411454.0,661267.0,24.12374768591261,78.0,Capacity Building,Therapy,Therapy,12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2910690000.0,35496219.512195125,29000000.0,0.07742970206378873,39742434000.0,0.07323884591467146,-0.07323884591467146,-35496219.512195125
2024Q2,Adelaide Hills,Adelaide Hills (SA),Inner Regional Australia,87986.0,2303.0,26.17461868933694,75.0,Capital,Capital,Capital,1,630000.0,174.0,117.0,117.0,126.0,102470000.0,0.006148140919293452,7160.230036596731,12.0,770140000.0,9391951.219512194,6662500.0,0.014531790423672293,39742434000.0,0.019378279649404462,-0.01323013873011101,-8761951.219512194
2024Q2,Adelaide Hills,Adelaide Hills (SA),Inner Regional Australia,87986.0,2303.0,26.17461868933694,75.0,Core,Community Participation Care,Community Participation Care,2,18029000.0,3316.0,13.0,13.0,44.0,102470000.0,0.17594417878403434,204907.5989361944,3.0,8354690000.0,101886463.41463415,85725000.0,0.2086263232645507,39742434000.0,0.210220893868755,-0.03427671508472066,-83857463.41463415
2024Q2,Adelaide Hills,Adelaide Hills (SA),Inner Regional Australia,87986.0,2303.0,26.17461868933694,75.0,Capacity Building,Early Childhood Supports,Early Childhood Supports,3,2524000.0,640.0,6.0,6.0,10.0,102470000.0,0.0246315994925344,28686.381924397065,7.0,717407000.0,8748865.853658536,5574000.0,0.018192684211595915,39742434000.0,0.018051410741475975,0.0065801887510584245,-6224865.853658536
2024Q2,Adelaide Hills,Adelaide Hills (SA),Inner Regional Australia,87986.0,2303.0,26.17461868933694,75.0,Core,Group Centre Care,Group Centre Care,4,3012000.0,647.0,32.0,32.0,50.0,102470000.0,0.02939396896652679,34232.7188416339,6.0,1280702000.0,15618317.07317073,9535000.0,0.030354275596505657,39742434000.0,0.03222505194322019,-0.0028310829766933984,-12606317.07317073
2024Q2,Adelaide Hills,Adelaide Hills (SA),Inner Regional Australia,87986.0,2303.0,26.17461868933694,75.0,Core,High Needs Personal Care,High Needs Personal Care,5,2192000.0,332.0,17.0,17.0,23.0,102470000.0,0.021391626817605154,24913.054349555612,10.0,1082262000.0,13198317.07317073,11024000.0,0.02674595909407916,39742434000.0,0.02723190029075723,-0.0058402734731520765,-11006317.07317073
2024Q2,Adelaide Hills,Adelaide Hills (SA),Inner Regional Australia,87986.0,2303.0,26.17461868933694,75.0,Capacity Building,Other Capacity Building,Other Capacity Building,6,7383000.0,1724.0,20.0,20.0,38.0,102470000.0,0.07205035620181517,83911.07676221218,5.0,2435570000.0,29702073.17073171,17788000.0,0.053436643730699764,39742434000.0,0.06128386600579119,0.010766490196023978,-22319073.17073171
2024Q2,Adelaide Hills,Adelaide Hills (SA),Inner Regional Australia,87986.0,2303.0,26.17461868933694,75.0,Core,Other Core,Other Core,7,2379000.0,1845.0,29.0,29.0,53.0,102470000.0,0.02321655118571289,27038.39247152956,8.0,946961000.0,11548304.878048781,9763000.0,0.022917359000371115,39742434000.0,0.023827453547510452,-0.0006109023617975606,-9169304.878048781
2024Q2,Adelaide Hills,Adelaide Hills (SA),Inner Regional Australia,87986.0,2303.0,26.17461868933694,75.0,Core,Personal Care,Personal Care,8,21175000.0,3317.0,27.0,27.0,52.0,102470000.0,0.206645847565141,240663.28734116792,2.0,9299090000.0,113403536.58536585,93653500.0,0.22550223568643069,39742434000.0,0.2339839074778359,-0.02733805991269489,-92228536.58536585
2024Q2,Adelaide Hills,Adelaide Hills (SA),Inner Regional Australia,87986.0,2303.0,26.17461868933694,75.0,Capacity Building,Plan Management,Plan Management,9,2181000.0,2309.0,0.0,0.0,3.0,102470000.0,0.02128427832536352,24788.03446002773,11.0,579643000.0,7068817.073170732,5803000.0,0.0179218828187062,39742434000.0,0.014584989937959009,0.006699288387404512,-4887817.073170732
2024Q2,Adelaide Hills,Adelaide Hills (SA),Inner Regional Australia,87986.0,2303.0,26.17461868933694,75.0,Core,Shared Accommodation Supports,Shared Accommodation Supports,10,30750000.0,943.0,19.0,19.0,38.0,102470000.0,0.30008783058456134,349487.4184529357,1.0,10294384000.0,125541268.29268293,96933500.0,0.25960048193947743,39742434000.0,0.25902751703632443,0.041060313548236915,-94791268.29268293
2024Q2,Adelaide Hills,Adelaide Hills (SA),Inner Regional Australia,87986.0,2303.0,26.17461868933694,75.0,Capacity Building,Support Coordination,Support Coordination,11,2268000.0,786.0,7.0,7.0,12.0,102470000.0,0.022133307309456427,25776.828131748232,9.0,1070895000.0,13059695.121951219,10623500.0,0.03254554021890279,39742434000.0,0.02694588358629469,-0.004812576276838263,-10791695.121951219
2024Q2,Adelaide Hills,Adelaide Hills (SA),Inner Regional Australia,87986.0,2303.0,26.17461868933694,75.0,Capacity Building,Therapy,Therapy,12,9947000.0,4347.0,14.0,14.0,38.0,102470000.0,0.0970723138479555,113052.07646671061,4.0,2910690000.0,35496219.512195125,29000000.0,0.07742970206378873,39742434000.0,0.07323884591467146,0.023833467933284044,-25549219.512195125
2024Q2,Barkly,Barkly (NT),Very Remote Australia,7448.0,148.0,19.87110633727175,66.0,Capital,Capital,Capital,1,0.0,0.0,51.0,51.0,51.0,5827000.0,0.0,0.0,11.0,770140000.0,9391951.219512194,6662500.0,0.014531790423672293,39742434000.0,0.019378279649404462,-0.019378279649404462,-9391951.219512194
2024Q2,Barkly,Barkly (NT),Very Remote Australia,7448.0,148.0,19.87110633727175,66.0,Core,Community Participation Care,Community Participation Care,2,1411000.0,199.0,16.0,16.0,22.0,5827000.0,0.24214861850008582,189446.8313641246,2.0,8354690000.0,101886463.41463415,85725000.0,0.2086263232645507,39742434000.0,0.210220893868755,0.03192772463133081,-100475463.41463415
2024Q2,Barkly,Barkly (NT),Very Remote Australia,7448.0,148.0,19.87110633727175,66.0,Capacity Building,Early Childhood Supports,Early Childhood Supports,3,36000.0,15.0,2.0,2.0,3.0,5827000.0,0.006178136262227562,4833.512352309345,10.0,717407000.0,8748865.853658536,5574000.0,0.018192684211595915,39742434000.0,0.018051410741475975,-0.011873274479248413,-8712865.853658536
2024Q2,Barkly,Barkly (NT),Very Remote Australia,7448.0,148.0,19.87110633727175,66.0,Core,Group Centre Care,Group Centre Care,4,0.0,0.0,9.0,9.0,9.0,5827000.0,0.0,0.0,11.0,1280702000.0,15618317.07317073,9535000.0,0.030354275596505657,39742434000.0,0.03222505194322019,-0.03222505194322019,-15618317.07317073
2024Q2,Barkly,Barkly (NT),Very Remote Australia,7448.0,148.0,19.87110633727175,66.0,Core,High Needs Personal Care,High Needs Personal Care,5,356000.0,25.0,3.0,3.0,5.0,5827000.0,0.061094903037583664,47798.06659505908,6.0,1082262000.0,13198317.07317073,11024000.0,0.02674595909407916,39742434000.0,0.02723190029075723,0.03386300274682644,-12842317.07317073
2024Q2,Barkly,Barkly (NT),Very Remote Australia,7448.0,148.0,19.87110633727175,66.0,Capacity Building,Other Capacity Building,Other Capacity Building,6,306000.0,139.0,13.0,13.0,17.0,5827000.0,0.05251415822893427,41084.85499462943,7.0,2435570000.0,29702073.17073171,17788000.0,0.053436643730699764,39742434000.0,0.06128386600579119,-0.00876970777685692,-29396073.17073171
2024Q2,Barkly,Barkly (NT),Very Remote Australia,7448.0,148.0,19.87110633727175,66.0,Core,Other Core,Other Core,7,45000.0,61.0,19.0,19.0,23.0,5827000.0,0.0077226703277844515,6041.890440386681,9.0,946961000.0,11548304.878048781,9763000.0,0.022917359000371115,39742434000.0,0.023827453547510452,-0.016104783219726,-11503304.878048781
2024Q2,Barkly,Barkly (NT),Very Remote Australia,7448.0,148.0,19.87110633727175,66.0,Core,Personal Care,Personal Care,8,1590000.0,113.0,15.0,15.0,21.0,5827000.0,0.27286768491505065,213480.12889366274,1.0,9299090000.0,113403536.58536585,93653500.0,0.22550223568643069,39742434000.0,0.2339839074778359,0.038883777437214745,-111813536.58536585
2024Q2,Barkly,Barkly (NT),Very Remote Australia,7448.0,148.0,19.87110633727175,66.0,Capacity Building,Plan Management,Plan Management,9,212000.0,196.0,1.0,1.0,3.0,5827000.0,0.03638235798867342,28464.017185821696,8.0,579643000.0,7068817.073170732,5803000.0,0.0179218828187062,39742434000.0,0.014584989937959009,0.02179736805071441,-6856817.073170732
2024Q2,Barkly,Barkly (NT),Very Remote Australia,7448.0,148.0,19.87110633727175,66.0,Core,Shared Accommodation Supports,Shared Accommodation Supports,10,520000.0,53.0,18.0,18.0,22.0,5827000.0,0.08923974600995366,69817.4006444683,5.0,10294384000.0,125541268.29268293,96933500.0,0.25960048193947743,39742434000.0,0.25902751703632443,-0.16978777102637077,-125021268.29268293
2024Q2,Barkly,Barkly (NT),Very Remote Australia,7448.0,148.0,19.87110633727175,66.0,Capacity Building,Support Coordination,Support Coordination,11,595000.0,123.0,1.0,1.0,2.0,5827000.0,0.10211086322292776,79887.2180451128,4.0,1070895000.0,13059695.121951219,10623500.0,0.03254554021890279,39742434000.0,0.02694588358629469,0.07516497963663307,-12464695.121951219
2024Q2,Barkly,Barkly (NT),Very Remote Australia,7448.0,148.0,19.87110633727175,66.0,Capacity Building,Therapy,Therapy,12,756000.0,241.0,9.0,9.0,15.0,5827000.0,0.1297408615067788,101503.75939849624,3.0,2910690000.0,35496219.512195125,29000000.0,0.07742970206378873,39742434000.0,0.07323884591467146,0.05650201559210734,-34740219.512195125
2024Q2,"Barossa, Light and Lower North","Barossa, Light and Lower North (SA)",Inner Regional Australia,83434.0,2891.0,34.650142627705726,75.0,Capital,Capital,Capital,1,1285000.0,241.0,142.0,142.0,152.0,113338000.0,0.011337768444828743,15401.39511470144,12.0,770140000.0,9391951.219512194,6662500.0,0.014531790423672293,39742434000.0,0.019378279649404462,-0.00804051120457572,-8106951.219512194
2024Q2,"Barossa, Light and Lower North","Barossa, Light and Lower North (SA)",Inner Regional Australia,83434.0,2891.0,34.650142627705726,75.0,Core,Community Participation Care,Community Participation Care,2,19746000.0,3871.0,19.0,19.0,49.0,113338000.0,0.17422223790785085,236666.10734233048,3.0,8354690000.0,101886463.41463415,85725000.0,0.2086263232645507,39742434000.0,0.210220893868755,-0.03599865596090415,-82140463.41463415
2024Q2,"Barossa, Light and Lower North","Barossa, Light and Lower North (SA)",Inner Regional Australia,83434.0,2891.0,34.650142627705726,75.0,Capacity Building,Early Childhood Supports,Early Childhood Supports,3,3668000.0,997.0,3.0,3.0,9.0,113338000.0,0.03236337327286524,43962.892825466835,7.0,717407000.0,8748865.853658536,5574000.0,0.018192684211595915,39742434000.0,0.018051410741475975,0.014311962531389263,-5080865.853658536
2024Q2,"Barossa, Light and Lower North","Barossa, Light and Lower North (SA)",Inner Regional Australia,83434.0,2891.0,34.650142627705726,75.0,Core,Group Centre Care,Group Centre Care,4,4550000.0,1052.0,48.0,48.0,75.0,113338000.0,0.04014540577740917,54534.12277968214,6.0,1280702000.0,15618317.07317073,9535000.0,0.030354275596505657,39742434000.0,0.03222505194322019,0.00792035383418898,-11068317.07317073
2024Q2,"Barossa, Light and Lower North","Barossa, Light and Lower North (SA)",Inner Regional Australia,83434.0,2891.0,34.650142627705726,75.0,Core,High Needs Personal Care,High Needs Personal Care,5,2406000.0,406.0,24.0,24.0,29.0,113338000.0,0.02122853764844977,28837.164705036314,11.0,1082262000.0,13198317.07317073,11024000.0,0.02674595909407916,39742434000.0,0.02723190029075723,-0.006003362642307462,-10792317.07317073
2024Q2,"Barossa, Light and Lower North","Barossa, Light and Lower North (SA)",Inner Regional Australia,83434.0,2891.0,34.650142627705726,75.0,Capacity Building,Other Capacity Building,Other Capacity Building,6,7170000.0,1899.0,29.0,29.0,45.0,113338000.0,0.0632621009723129,85936.18908358703,5.0,2435570000.0,29702073.17073171,17788000.0,0.053436643730699764,39742434000.0,0.06128386600579119,0.0019782349665217053,-22532073.17073171
2024Q2,"Barossa, Light and Lower North","Barossa, Light and Lower North (SA)",Inner Regional Australia,83434.0,2891.0,34.650142627705726,75.0,Core,Other Core,Other Core,7,2919000.0,2153.0,29.0,29.0,53.0,113338000.0,0.02575482186027634,34985.73722942685,8.0,946961000.0,11548304.878048781,9763000.0,0.022917359000371115,39742434000.0,0.023827453547510452,0.0019273683127658883,-8629304.878048781
2024Q2,"Barossa, Light and Lower North","Barossa, Light and Lower North (SA)",Inner Regional Australia,83434.0,2891.0,34.650142627705726,75.0,Core,Personal Care,Personal Care,8,28446000.0,4124.0,29.0,29.0,56.0,113338000.0,0.2509837830206991,340940.1443056788,1.0,9299090000.0,113403536.58536585,93653500.0,0.22550223568643069,39742434000.0,0.2339839074778359,0.016999875542863224,-84957536.58536585
2024Q2,"Barossa, Light and Lower North","Barossa, Light and Lower North (SA)",Inner Regional Australia,83434.0,2891.0,34.650142627705726,75.0,Capacity Building,Plan Management,Plan Management,9,2753000.0,2987.0,0.0,0.0,3.0,113338000.0,0.024290176286858776,32996.14066208021,9.0,579643000.0,7068817.073170732,5803000.0,0.0179218828187062,39742434000.0,0.014584989937959009,0.009705186348899768,-4315817.073170732
2024Q2,"Barossa, Light and Lower North","Barossa, Light and Lower North (SA)",Inner Regional Australia,83434.0,2891.0,34.650142627705726,75.0,Core,Shared Accommodation Supports,Shared Accommodation Supports,10,25200000.0,875.0,22.0,22.0,41.0,113338000.0,0.2223437858441123,302035.14154900884,2.0,10294384000.0,125541268.29268293,96933500.0,0.25960048193947743,39742434000.0,0.25902751703632443,-0.03668373119221213,-100341268.29268293
2024Q2,"Barossa, Light and Lower North","Barossa, Light and Lower North (SA)",Inner Regional Australia,83434.0,2891.0,34.650142627705726,75.0,Capacity Building,Support Coordination,Support Coordination,11,2700000.0,926.0,7.0,7.0,12.0,113338000.0,0.023822548483297748,32360.908023108088,10.0,1070895000.0,13059695.121951219,10623500.0,0.03254554021890279,39742434000.0,0.02694588358629469,-0.0031233351029969422,-10359695.121951219
2024Q2,"Barossa, Light and Lower North","Barossa, Light and Lower North (SA)",Inner Regional Australia,83434.0,2891.0,34.650142627705726,75.0,Capacity Building,Therapy,Therapy,12,12495000.0,5509.0,13.0,13.0,39.0,113338000.0,0.11024546048103902,149759.09101805018,4.0,2910690000.0,35496219.512195125,29000000.0,0.07742970206378873,39742434000.0,0.07323884591467146,0.03700661456636756,-23001219.512195125
2024Q2,Barwon,Barwon (VIC),Inner Regional Australia,360843.0,11912.0,33.01158675656726,74.0,Capital,Capital,Capital,1,16583000.0,2718.0,235.0,235.0,306.0,682032000.0,0.02431410842893002,45956.27461250461,10.0,770140000.0,9391951.219512194,6662500.0,0.014531790423672293,39742434000.0,0.019378279649404462,0.004935828779525558,7191048.780487806
2024Q2,Barwon,Barwon (VIC),Inner Regional Australia,360843.0,11912.0,33.01158675656726,74.0,Core,Community Participation Care,Community Participation Care,2,144959000.0,28003.0,8.0,8.0,51.0,682032000.0,0.21253988082670608,401723.1870924474,2.0,8354690000.0,101886463.41463415,85725000.0,0.2086263232645507,39742434000.0,0.210220893868755,0.0023189869579510747,43072536.58536585
2024Q2,Barwon,Barwon (VIC),Inner Regional Australia,360843.0,11912.0,33.01158675656726,74.0,Capacity Building,Early Childhood Supports,Early Childhood Supports,3,13304000.0,2751.0,3.0,3.0,11.0,682032000.0,0.019506416121237713,36869.220131747046,11.0,717407000.0,8748865.853658536,5574000.0,0.018192684211595915,39742434000.0,0.018051410741475975,0.0014550053797617382,4555134.146341464
2024Q2,Barwon,Barwon (VIC),Inner Regional Australia,360843.0,11912.0,33.01158675656726,74.0,Core,Group Centre Care,Group Centre Care,4,34744000.0,8182.0,47.0,47.0,104.0,682032000.0,0.05094189128955826,96285.64223221735,6.0,1280702000.0,15618317.07317073,9535000.0,0.030354275596505657,39742434000.0,0.03222505194322019,0.018716839346338075,19125682.92682927
2024Q2,Barwon,Barwon (VIC),Inner Regional Australia,360843.0,11912.0,33.01158675656726,74.0,Core,High Needs Personal Care,High Needs Personal Care,5,18557000.0,2616.0,10.0,10.0,34.0,682032000.0,0.027208400778849087,51426.79780403112,8.0,1082262000.0,13198317.07317073,11024000.0,0.02674595909407916,39742434000.0,0.02723190029075723,-2.349951190814409e-05,5358682.926829269
2024Q2,Barwon,Barwon (VIC),Inner Regional Australia,360843.0,11912.0,33.01158675656726,74.0,Capacity Building,Other Capacity Building,Other Capacity Building,6,37520000.0,12641.0,29.0,29.0,66.0,682032000.0,0.055012081544560956,103978.73867582301,5.0,2435570000.0,29702073.17073171,17788000.0,0.053436643730699764,39742434000.0,0.06128386600579119,-0.006271784461230237,7817926.829268292
2024Q2,Barwon,Barwon (VIC),Inner Regional Australia,360843.0,11912.0,33.01158675656726,74.0,Core,Other Core,Other Core,7,17672000.0,11291.0,23.0,23.0,57.0,682032000.0,0.025910807704037347,48974.20761938018,9.0,946961000.0,11548304.878048781,9763000.0,0.022917359000371115,39742434000.0,0.023827453547510452,0.0020833541565268947,6123695.121951219
2024Q2,Barwon,Barwon (VIC),Inner Regional Australia,360843.0,11912.0,33.01158675656726,74.0,Core,Personal Care,Personal Care,8,140957000.0,21163.0,16.0,16.0,64.0,682032000.0,0.20667212095620147,390632.4911388055,3.0,9299090000.0,113403536.58536585,93653500.0,0.22550223568643069,39742434000.0,0.2339839074778359,-0.027311786521634435,27553463.414634153
2024Q2,Barwon,Barwon (VIC),Inner Regional Australia,360843.0,11912.0,33.01158675656726,74.0,Capacity Building,Plan Management,Plan Management,9,12046000.0,14035.0,0.0,0.0,3.0,682032000.0,0.01766192788608159,33382.9393946952,12.0,579643000.0,7068817.073170732,5803000.0,0.0179218828187062,39742434000.0,0.014584989937959009,0.0030769379481225823,4977182.926829268
2024Q2,Barwon,Barwon (VIC),Inner Regional Australia,360843.0,11912.0,33.01158675656726,74.0,Core,Shared Accommodation Supports,Shared Accommodation Supports,10,156513000.0,4973.0,10.0,10.0,48.0,682032000.0,0.2294804349356042,433742.6526217773,1.0,10294384000.0,125541268.29268293,96933500.0,0.25960048193947743,39742434000.0,0.25902751703632443,-0.02954708210072024,30971731.70731707
2024Q2,Barwon,Barwon (VIC),Inner Regional Australia,360843.0,11912.0,33.01158675656726,74.0,Capacity Building,Support Coordination,Support Coordination,11,26507000.0,6747.0,5.0,5.0,13.0,682032000.0,0.03886474534919183,73458.54014072604,7.0,1070895000.0,13059695.121951219,10623500.0,0.03254554021890279,39742434000.0,0.02694588358629469,0.011918861762897137,13447304.878048781
